# Source: NASA POWER, power.larc.nasa.gov, S3 Zarr store nasa-power/syn1deg/temporal/power_syn1deg_daily_temporal_utc.zarr
# Variables: ALLSKY_SFC_SW_DWN (GHI), CLRSKY_SFC_SW_DWN, ALLSKY_SFC_SW_DNI, ALLSKY_SFC_SW_DIFF
# Grid resolution: 1-degree (nearest-grid-cell lookup)
# Units raw: W m-2 (daily mean); *_Whm2day = raw * 24 h = daily total Wh/m2/day
# Date range: 2023-08-22 to 2023-08-29 (mirrors BWSC 2027 race window)
# Retrieved: 2026-06-21
location,cumulative_km,lat_grid,lon_grid,date,ghi_Wm2,clrsky_ghi_Wm2,dni_Wm2,diff_Wm2,ghi_Whm2day,clrsky_ghi_Whm2day,dni_Whm2day,diff_Whm2day
Glendambo,2290,-30.5,135.5,2023-08-22,221.48,222.64,379.62,22.17,5315.5,5343.4,9110.9,532.1
Glendambo,2290,-30.5,135.5,2023-08-23,222.74,222.93,373.55,21.11,5345.8,5350.3,8965.2,506.6
Glendambo,2290,-30.5,135.5,2023-08-24,219.21,219.34,341.51,29.0,5261.0,5264.2,8196.2,696.0
Glendambo,2290,-30.5,135.5,2023-08-25,214.5,214.6,322.71,33.77,5148.0,5150.4,7745.0,810.5
Glendambo,2290,-30.5,135.5,2023-08-26,221.08,221.81,340.91,29.75,5305.9,5323.4,8181.8,714.0
Glendambo,2290,-30.5,135.5,2023-08-27,219.01,225.93,301.05,56.5,5256.2,5422.3,7225.2,1356.0
Glendambo,2290,-30.5,135.5,2023-08-28,225.96,226.44,348.85,28.18,5423.0,5434.6,8372.4,676.3
Glendambo,2290,-30.5,135.5,2023-08-29,197.02,227.71,216.45,70.67,4728.5,5465.0,5194.8,1696.1
Port Augusta,2550,-32.5,137.5,2023-08-22,205.66,211.28,337.43,32.58,4935.8,5070.7,8098.3,781.9
Port Augusta,2550,-32.5,137.5,2023-08-23,210.45,211.24,363.89,21.65,5050.8,5069.8,8733.4,519.6
Port Augusta,2550,-32.5,137.5,2023-08-24,209.91,211.66,337.66,26.42,5037.8,5079.8,8103.8,634.1
Port Augusta,2550,-32.5,137.5,2023-08-25,205.35,207.9,321.59,31.59,4928.4,4989.6,7718.2,758.2
Port Augusta,2550,-32.5,137.5,2023-08-26,206.78,210.13,314.08,31.65,4962.7,5043.1,7537.9,759.6
Port Augusta,2550,-32.5,137.5,2023-08-27,210.06,215.24,320.05,33.6,5041.4,5165.8,7681.2,806.4
Port Augusta,2550,-32.5,137.5,2023-08-28,212.97,214.62,331.2,31.2,5111.3,5150.9,7948.8,748.8
Port Augusta,2550,-32.5,137.5,2023-08-29,176.36,214.84,174.48,71.62,4232.6,5156.2,4187.5,1718.9
Adelaide,3022,-34.5,138.5,2023-08-22,187.85,200.26,309.24,34.19,4508.4,4806.2,7421.8,820.6
Adelaide,3022,-34.5,138.5,2023-08-23,157.67,198.5,196.51,68.26,3784.1,4764.0,4716.2,1638.2
Adelaide,3022,-34.5,138.5,2023-08-24,197.66,201.86,305.34,30.35,4743.8,4844.6,7328.2,728.4
Adelaide,3022,-34.5,138.5,2023-08-25,184.38,198.56,262.02,55.99,4425.1,4765.4,6288.5,1343.8
Adelaide,3022,-34.5,138.5,2023-08-26,187.03,201.59,295.14,30.98,4488.7,4838.2,7083.4,743.5
Adelaide,3022,-34.5,138.5,2023-08-27,163.61,203.71,219.48,64.12,3926.6,4889.0,5267.5,1538.9
Adelaide,3022,-34.5,138.5,2023-08-28,194.32,201.87,280.83,43.73,4663.7,4844.9,6739.9,1049.5
Adelaide,3022,-34.5,138.5,2023-08-29,160.68,202.95,181.89,61.37,3856.3,4870.8,4365.4,1472.9
